"corpus","AranRusj_x"
"subcorpus","-"
"concordance size","8115"
"query","Query:[lemma!="".*инг"" & tag=""N.*""] within [lemma="".*инг"" & tag=""N.*""] [lemma!="".*инг""&tag=""N.*""]"
"компании",136,""
"состояния",128,""
"лица",120,""
"транспорта",91,""
"эффективности",87,""
"сайтов",81,""
"сайта",79,""
"качества",68,""
"персонала",67,""
"цен",58,""
"рынка",56,""
"надежности",55,""
"вузов",52,""
"продаж",51,""
"популярности",51,""
"автомобилей",49,""
"реализации",47,""
"работы",42,""
"России",42,""
"МРСК",39,""
"кожи",38,""
"бизнес-процессов",38,""
"ООО",37,""
"автомобиля",34,""
"ОАО",30,""
"ГлобалМСК",30,""
"университетов",29,""
"протеста",29,""
"оборудования",29,""
"СМИ",28,""
"регионов",27,""
"исполнения",27,""
"безопасности",27,""
"ситуации",26,""
"компаний",26,""
"деятельности",26,""
"влияния",26,""
"активности",26,""
"системы",25,""
"Хан",25,""
"уровня",23,""
"автотранспорта",23,""
"центр",21,""
"пейдж",21,""
"объектов",21,""
"правоприменения",19,""
"показателей",19,""
"журнала",19,""
"проекта",18,""
"Глобал",18,""
"участников",17,""
"территорий",17,""
"развития",17,""
"пользователей",17,""
"кредитоспособности",17,""
"брокеров",17,""
"РБК",17,""
"услуг",16,""
"командообразования",16,""
"загрязнения",16,""
"доверия",16,""
"участники",15,""
"уверенности",15,""
"трудоустройства",15,""
"стран",15,""
"статьи",15,""
"сети",15,""
"работоспособности",15,""
"программы",15,""
"позиций",15,""
"РФ",15,""
"территории",14,""
"событий",14,""
"процесса",14,""
"ответа",14,""
"движения",14,""
"ЗАО",14,""
"Групп",14,""
"тренеров",13,""
"скорости",13,""
"рекламодателя",13,""
"производительности",13,""
"провайдера",13,""
"план",13,""
"двигателя",13,""
"выполнения",13,""
"бухгалтерии",13,""
"агентства",13,""
"школ",12,""
"тела",12,""
"результатов",12,""
"отходов",12,""
"операторов",12,""
"законодательства",12,""
"взаимодействия",12,""
"Рус",12,""
"Пол",12,""
"Компания",12,""
"страницы",11,""
"спецтехники",11,""
"собак",11,""
"реальности",11,""
"процессов",11,""
"компания",11,""
"изменений",11,""
"земель",11,""
"доступности",11,""
"достижения",11,""
"гарри",11,""
"Рунета",11,""
"ГлобалСПБ",11,""
"ГК",11,""
"страниц",10,""
"сотрудников",10,""
"разработки",10,""
"проектов",10,""
"отеля",10,""
"оппозиции",10,""
"надёжности",10,""
"Строй",10,""
"Джонг",10,""
"ВЭД",10,""
"АТР",10,""
"центре",9,""
"хода",9,""
"фирмы",9,""
"условий",9,""
"товаров",9,""
"температуры",9,""
"рекламы",9,""
"производителей",9,""
"предприятий",9,""
"орехи",9,""
"команд",9,""
"интернет",9,""
"здоровья",9,""
"жителей",9,""
"дефолта",9,""
"демократичности",9,""
"бизнес",9,""
"банка",9,""
"Фонда",9,""
"форекс",8,""
"управления",8,""
"удовлетворенности",8,""
"систем",8,""
"салона",8,""
"партии",8,""
"общения",8,""
"недвижимости",8,""
"мезонитями",8,""
"клуба",8,""
"казино",8,""
"информации",8,""
"городов",8,""
"внедрения",8,""
"внедорожника",8,""
"блогов",8,""
"УИМП",8,""
"АКПП",8,""
"экспертом",7,""
"цитируемости",7,""
"цены",7,""
"центра",7,""
"фирм",7,""
"товара",7,""
"техники",7,""
"страны",7,""
"сервис",7,""
"руководителей",7,""
"ресурсов",7,""
"репутации",7,""
"радиопроекта",7,""
"работников",7,""
"производства",7,""
"программа",7,""
"президента",7,""
"плана",7,""
"пациентов",7,""
"параметров",7,""
"нарушений",7,""
"лицо",7,""
"конкурентов",7,""
"клуб",7,""
"использования",7,""
"искусности",7,""
"документов",7,""
"данных",7,""
"группы",7,""
"банков",7,""
"Теплоком",7,""
"Татум",7,""
"Стрит",7,""
"Сервис",7,""
"СОЮЗ",7,""
"чарлз",6,""
"упражнения",6,""
"строительства",6,""
"статей",6,""
"средств",6,""
"спонсоры",6,""
"сообщений",6,""
"сафари",6,""
"продуктов",6,""
"провайдер",6,""
"применения",6,""
"предложений",6,""
"поведения",6,""
"партий",6,""
"отелей",6,""
"организации",6,""
"направления",6,""
"модели",6,""
"меткости",6,""
"место",6,""
"машина",6,""
"летом",6,""
"запросов",6,""
"дома",6,""
"динамики",6,""
"действий",6,""
"губернаторов",6,""
"груди",6,""
"выдачи",6,""
"ателье",6,""
"адвокатов",6,""
"Яндекс",6,""
"Центра",6,""
"ФИФА",6,""
"Компани",6,""
"Банка",6,""
"центры",5,""
"устройств",5,""
"туры",5,""
"тур",5,""
"типа",5,""
"текст",5,""
"стоимости",5,""
"стеновой",5,""
"рисков",5,""
"реклама",5,""
"результативности",5,""
"региона",5,""
"развитие",5,""
"продукции",5,""
"привлекательности",5,""
"предпринимателей",5,""
"поисковиков",5,""
"подвески",5,""
"панели",5,""
"организаций",5,""
"оптики",5,""
"онлайн",5,""
"одобрения",5,""
"обстановки",5,""
"наркоситуации",5,""
"машин",5,""
"материалов",5,""
"курсы",5,""
"кузова",5,""
"корпорации",5,""
"кормов",5,""
"компонентов",5,""
"компаний-получателей",5,""
"клиентов",5,""
"кандидатов",5,""
"интернет-магазинов",5,""
"интернет-магазина",5,""
"имущества",5,""
"изменения",5,""
"застройщиков",5,""
"закупок",5,""
"завода",5,""
"главы",5,""
"блок",5,""
"адрес",5,""
"Яндекса",5,""
"Школы",5,""
"Управление",5,""
"Системы",5,""
"Сибири",5,""
"США",5,""
"Минрегиона",5,""
"Курс",5,""
"Конг",5,""
"Комплекс",5,""
"Испании",5,""
"Индонезия",5,""
"Глорион",5,""
"ГАРАНТ",5,""
"Ассоциации",5,""
"Алексей",5,""
"SEO-компаний",5,""
"Alexa",5,""
"энергопотребления",4,""
"эмитента",4,""
"экспозиции",4,""
"эксперты",4,""
"школы",4,""
"функций",4,""
"форум",4,""
"файлов",4,""
"устройства",4,""
"упоминаний",4,""
"упаковки",4,""
"университета",4,""
"узнаваемости",4,""
"текстов",4,""
"субъектов",4,""
